1. regurgitate (v.) 反芻；吐出
2. diatoms (n.) 矽藻
3. incubate (v.) 孵化；培養
4. fledge (v.) 長出羽毛；學會飛翔
5. baffled (adj.) 困惑的；不知所措的
6. ghastly (adj.) 可怕的；令人反感的
7. mound (n.) 土丘；堆
8. secrete (v.) 分泌；產生
9. jurisdiction (n.) 管轄權；司法權
10. windfall (n.) 意外之財；橫財
11. bloated (adj.) 腫脹的；自負的
12. dilate (v.) 擴張；詳述
13. pompous (adj.) 自負的；華而不實的
14. stark (adj.) 赤裸的；嚴酷的
15. stale (adj.) 不新鮮的；陳腐的
16. staple (n./adj.) 主要食品；主要的
17. static (adj.) 靜止的；停滯的
18. alleviate (v.) 減輕；緩解
19. plankton (n.) 浮游生物
20. nourishing (adj.) 有營養的；滋養的
21. pigment (n.) 色素；顏料
22. algae (n.) 藻類
23. digestive tract (n.) 消化道
24. protagonist (n.) 主角；領導者
25. sovereignty (n.) 主權；統治權
26. prerogative (n.) 特權；優先權
27. antagonism (n.) 對抗；敵意
28. impervious (adj.) 不受影響的；無動於衷的
29. intolerant (adj.) 不能容忍的；偏狹的
30. pharmaceutical (adj.) 製藥的；藥物的
31. cosmetic (adj.) 化妝品的；美容的
32. portability (n.) 可攜帶性；輕便
33. nutrition (n.) 營養；營養學
34. convenience (n.) 便利；方便
35. govern (v.) 統治；管理
36. enforce (v.) 執行；強制
37. allocation (n.) 分配；配給
38. substantially (adv.) 大體上；基本上
39. disproportionately (adv.) 不成比例地；不相稱地
40. underprivileged (adj.) 貧困的；弱勢的
